Series,Model,AvgTime
230,XGB,2808.4731140483154
230,Dual-Stage,1137.3310357019307
179,RT,1178.2449698362302
179,RF,23417.336959814136
179,XGB,3574.7662010299496
179,Dual-Stage,2544.560394086918
005,RT,1341.580226740324
005,RF,23840.21129070026
005,XGB,3572.4453721286413
005,Dual-Stage,2497.6909069262674
206,RT,1015.9682522732402
206,RF,22399.063073424564
206,XGB,3156.8481697523175
206,Dual-Stage,2388.409729398493
150,RT,856.1856514843562
150,RF,22175.32267429459
150,XGB,2935.3067329082705
150,Dual-Stage,2343.689355043782
073,RT,1044.12776514354
073,RF,18838.07770835149
073,XGB,3280.8710454797947
073,Dual-Stage,1416.0673127178748
075,RT,1096.4415251748007
075,RF,21662.5060949667
075,XGB,4057.3505418795103
075,Dual-Stage,3063.8586927150673
227,RT,817.2213393484719
227,RF,20826.46576909283
227,XGB,3546.028439770276
227,Dual-Stage,1478.15683732667
026,RT,1479.0218378825434
026,RF,22922.313729801273
026,XGB,3353.2384865080726
026,Dual-Stage,3224.526824384599
241,RT,937.3604430095224
241,RF,16402.932258234807
241,XGB,2042.1948953778306
241,Dual-Stage,1427.0348740415661
148,RT,2361.294946490316
148,RF,18931.973068697353
148,XGB,3115.6341832170356
148,Dual-Stage,2286.5540267055294
053,RT,1577.7940298129809
053,RF,28228.459313466563
053,XGB,3469.765940294497
053,Dual-Stage,3189.35407471036
193,RT,968.0784343115389
193,RF,20276.901603557093
193,XGB,3614.8828463341715
193,Dual-Stage,1590.70578841082
222,RT,767.4480845233915
222,RF,19017.725090543
222,XGB,3570.981867203409
222,Dual-Stage,1543.4441267618079
141,RT,1083.0712033998295
141,RF,23066.03889830338
141,XGB,3438.7905084695594
141,Dual-Stage,2518.210084679718
234,RT,745.8790647144589
234,RF,17659.303720010925
234,XGB,2832.938085887103
234,Dual-Stage,1109.001917671669
017,RT,1138.6472946566885
017,RF,21605.510593746312
017,XGB,2814.7979820890405
017,Dual-Stage,2153.913125003523
167,RT,756.7416502929998
167,RF,17565.182658120008
167,XGB,2629.0809754211527
167,Dual-Stage,1207.3731676135742
231,RT,1002.7072046470937
231,RF,20893.608525910004
231,XGB,3621.9046114072817
231,Dual-Stage,1994.5236554333983
245,RT,1138.4584151699084
245,RF,17453.90107813552
245,XGB,2681.5991183103242
245,Dual-Stage,1066.369760033175
023,RT,967.4584054279491
023,RF,21913.84531533094
023,XGB,3127.2178648537138
023,Dual-Stage,2210.700954930855
123,RT,1654.1782685416601
123,RF,21721.928458330494
123,XGB,3555.7988194678164
123,Dual-Stage,2369.8086636489857
201,RT,1040.1261799647841
201,RF,18934.26008881633
201,XGB,3498.4226059000343
201,Dual-Stage,2020.8593806531796
016,RT,744.7565446544298
016,RF,21132.5404062198
016,XGB,2780.8948928103355
016,Dual-Stage,2288.115665209034
244,RT,618.0780983078224
244,RF,17157.807929609655
244,XGB,2716.5343519523854
244,Dual-Stage,1051.7104581842445
076,RT,1869.1515179881346
076,RF,18484.044477212592
076,XGB,2996.9863597181425
076,Dual-Stage,2093.0065094326696
060,RT,1545.7757754363574
060,RF,19072.403197835607
060,XGB,4597.634716529601
060,Dual-Stage,3476.5686719045625
133,RT,1480.1459025128554
133,RF,19826.55039835929
133,XGB,3220.251463380549
133,Dual-Stage,3061.5918347183283
162,RT,2424.99108268126
162,RF,21371.97326449171
162,XGB,6350.702859507248
162,Dual-Stage,2820.9243553962647
211,RT,836.7195519215079
211,RF,19281.956869427337
211,XGB,2720.3310237571436
211,Dual-Stage,2217.1210323824002
217,RT,1740.1646909737306
217,RF,21377.470658910646
217,XGB,2980.1562537009213
217,Dual-Stage,2827.1306034765503
120,RT,813.2398532355435
120,RF,19169.594978815152
120,XGB,3033.364962168098
120,Dual-Stage,1247.0529531150728
058,RT,843.2513229485052
058,RF,19107.744832992576
058,XGB,3265.9601380482623
058,Dual-Stage,2142.822414265422
114,RT,1237.7590349144664
114,RF,19959.698133688595
114,XGB,4370.835377913377
114,Dual-Stage,2493.620982921708
174,RT,461.5019675342906
174,RF,27870.201590888304
174,XGB,3469.384077910142
174,Dual-Stage,2571.407406264825
072,RT,672.0794126532487
072,RF,19349.35093438705
072,XGB,2687.647606228598
072,Dual-Stage,1259.3389665867073
134,RT,1522.2576711905326
134,RF,27017.09432880905
134,XGB,3671.826315066065
134,Dual-Stage,3797.6171467016684
054,RT,2897.9974958553407
054,RF,20891.94518184515
054,XGB,4077.4153305978534
054,Dual-Stage,2484.8128264276347
090,RT,875.1866321739956
090,RF,19248.611855198706
090,XGB,4122.564822988014
090,Dual-Stage,1633.5801312392116
238,RT,1188.1338043029086
238,RF,20920.94048368439
238,XGB,4147.701923937779
238,Dual-Stage,2342.0736847929616
116,RT,799.1119128524418
116,RF,25664.26563372831
116,XGB,3289.2708604618383
116,Dual-Stage,2422.3250739096743
149,RT,876.7145472111431
149,RF,21117.052641657152
149,XGB,2998.519609137988
149,Dual-Stage,2038.5655961115806
021,RT,1076.600918934075
021,RF,22655.3957928191
021,XGB,3286.3535991243407
021,Dual-Stage,3023.8589053894693
118,RT,1288.7020581443765
118,RF,19917.21356980739
118,XGB,3475.638046518006
118,Dual-Stage,2190.583812514226
047,RT,1459.9875960317472
047,RF,17582.875178313105
047,XGB,2935.3031608357355
047,Dual-Stage,1265.3471078673128
125,RT,893.9124419547235
125,RF,24746.77916073022
125,XGB,4778.7598884018
125,Dual-Stage,3993.0648482311444
088,RT,897.5191891048411
088,RF,20567.441117936807
088,XGB,1704.2512625365816
088,Dual-Stage,1077.5138073743856
033,RT,398.63536723694233
033,RF,19869.741084735324
033,XGB,2215.320677972719
033,Dual-Stage,1470.0192303055528
160,RT,565.8278662426902
160,RF,34239.386704202945
160,XGB,2812.804838028992
160,Dual-Stage,2034.105359143723
168,RT,887.1571604238871
168,RF,19640.457818250696
168,XGB,2811.0189198153366
168,Dual-Stage,2001.2168020665893
130,RT,877.8922260177551
130,RF,20750.22142936553
130,XGB,3170.386824915451
130,Dual-Stage,2318.9351685472543
240,RT,631.0806179834418
240,RF,16094.236725539376
240,XGB,1845.6481896274347
240,Dual-Stage,1491.9883876521142
024,RT,1148.2132411608245
024,RF,22694.764397183855
024,XGB,2650.4449219731773
024,Dual-Stage,1974.0562127687508
154,RT,587.0010719110867
154,RF,17510.56675881514
154,XGB,2482.7308970305585
154,Dual-Stage,1952.8561103423647
170,RT,719.6818038919138
170,RF,16633.99786923686
170,XGB,2319.892685235535
170,Dual-Stage,1703.924911949101
049,RT,1027.4459788734916
049,RF,21439.791605612114
049,XGB,2933.6333732893586
049,Dual-Stage,2019.7003999661927
226,RT,486.9603780596879
226,RF,16665.13093701339
226,XGB,2412.2778867970987
226,Dual-Stage,1602.3400956746382
068,RT,920.7855434357517
068,RF,23122.13978261159
068,XGB,2996.6556304197698
068,Dual-Stage,2030.002065250459
228,RT,666.9439413214877
228,RF,17138.87752838604
228,XGB,2366.3528160249543
228,Dual-Stage,1916.4600450619462
037,RT,876.9347351812213
037,RF,20247.440515950857
037,XGB,3929.9672876601503
037,Dual-Stage,2729.469680141373
190,RT,547.9815398188279
190,RF,17487.004273146056
190,XGB,2643.6412471478557
190,Dual-Stage,1637.6603328125577
121,RT,628.9852641062405
121,RF,17547.745584555094
121,XGB,2524.1122062309973
121,Dual-Stage,1773.1087280881027
015,RT,733.0132823637069
015,RF,20633.650689757353
015,XGB,3001.5529954173167
015,Dual-Stage,2282.6263954687997
022,RT,1155.801101635068
022,RF,21121.235310740794
022,XGB,2668.662587544367
022,Dual-Stage,1968.372581955343
126,RT,668.7089916515288
126,RF,19595.028208920136
126,XGB,2551.4862339994174
126,Dual-Stage,2016.0241170124511
220,RT,786.736152503409
220,RF,19047.773788091243
220,XGB,2433.956945743758
220,Dual-Stage,1805.7843075068126
064,RT,866.9016381979267
064,RF,23147.159939670277
064,XGB,3355.94680908245
064,Dual-Stage,2117.517526818208
020,RT,977.5363423655149
020,RF,19679.8314819872
020,XGB,2864.5255990693286
020,Dual-Stage,2000.9305720671912
044,RT,763.9755012562586
044,RF,18445.27075063159
044,XGB,2432.613808560294
044,Dual-Stage,1649.6314810865438
082,RT,1608.557822751247
082,RF,18535.117486160405
082,XGB,3341.3707219514777
082,Dual-Stage,1816.3253987254145
223,RT,659.2569241365433
223,RF,17240.739969658236
223,XGB,2555.371555403069
223,Dual-Stage,1807.3502458330117
089,RT,732.1641276812348
089,RF,17258.758282506245
089,XGB,2487.32221470816
089,Dual-Stage,1576.9365257994384
128,RT,1034.4137297472919
128,RF,17979.68112615709
128,XGB,2627.1666080967466
128,Dual-Stage,1942.3565471138909
185,RT,767.1329566165683
185,RF,23718.895311661603
185,XGB,4736.210431928163
185,Dual-Stage,4719.900729761772
164,RT,3476.7164732808665
164,RF,30445.842093740797
164,XGB,3434.0035357282845
164,Dual-Stage,2610.553718714723
138,RT,1774.4922137950641
138,RF,31421.494343481492
138,XGB,4521.557625913508
138,Dual-Stage,5286.453843751814
233,RT,1229.2628635259464
233,RF,16817.547524691803
233,XGB,2764.789767057022
233,Dual-Stage,1146.9953494195265
009,RT,1039.8333313615376
009,RF,22830.431177503422
009,XGB,3084.2416272422893
009,Dual-Stage,2561.571088793206
100,RT,1067.959771708836
100,RF,22763.33274888091
100,XGB,3418.8335250923114
100,Dual-Stage,2632.5080135344188
172,RT,1082.0038692945125
172,RF,19897.693959818513
172,XGB,3471.220638194934
172,Dual-Stage,2430.2796341433395
146,RT,1094.2597169128126
146,RF,23106.563173526283
146,XGB,2869.1384018181593
146,Dual-Stage,2119.874273961464
041,RT,747.4751205114171
041,RF,20227.656068406242
041,XGB,4376.429097723934
041,Dual-Stage,2584.4002573423895
028,RT,1190.5029565847751
028,RF,23274.28410138752
028,XGB,3367.825086952771
028,Dual-Stage,2928.2943856612424
050,RT,1589.171345143845
050,RF,23159.37250703326
050,XGB,3117.3263521299637
050,Dual-Stage,2539.6084718484185
155,RT,684.8740880718514
155,RF,17443.121616352597
155,XGB,2926.336164768739
155,Dual-Stage,1116.015048610914
108,RT,2321.789529417527
108,RF,18645.103141170708
108,XGB,3049.4178274488604
108,Dual-Stage,2189.5078509902187
216,RT,783.4844011690321
216,RF,19500.13062275072
216,XGB,3082.0329041865225
216,Dual-Stage,2908.6371736477136
067,RT,1086.646216220755
067,RF,20096.915135184707
067,XGB,3239.36941445559
067,Dual-Stage,2134.002631560418
195,RT,781.0096125793859
195,RF,18595.493358627115
195,XGB,2712.0002512874526
195,Dual-Stage,1258.2212683326904
242,RT,741.8326796264049
242,RF,17885.097235815007
242,XGB,2657.145558411545
242,Dual-Stage,1182.7801190247253
210,RT,1499.1747304326814
210,RF,22124.77509405587
210,XGB,2852.090341716534
210,Dual-Stage,2907.1970062144114
008,RT,1226.2498430573032
008,RF,21993.437168592118
008,XGB,2915.6913139749395
008,Dual-Stage,2439.1204147749786
087,RT,922.1847290409266
087,RF,17565.2267185649
087,XGB,2899.7502578529397
087,Dual-Stage,1068.5290183249874
156,RT,1245.2236479014534
156,RF,26601.321838082276
156,XGB,3064.0615915204685
156,Dual-Stage,2336.2986056153986
085,RT,2021.0157416656646
085,RF,18708.442685975286
085,XGB,3397.577906455959
085,Dual-Stage,1693.602632529693
184,RT,933.3674700230199
184,RF,19321.712757768746
184,XGB,2956.1068537116766
184,Dual-Stage,2177.4967735794075
236,RT,747.9809112922125
236,RF,17568.74522926338
236,XGB,3036.160555281813
236,Dual-Stage,1070.9963859570962
004,RT,1495.8472928985357
004,RF,20782.83389899371
004,XGB,3010.4836767699308
004,Dual-Stage,5141.764216942939
097,RT,2416.737779259239
097,RF,21094.430513503466
097,XGB,3133.6281171174005
097,Dual-Stage,2284.1129639632813
215,RT,914.3764110276215
215,RF,20395.967328188646
215,XGB,2912.2528129110083
215,Dual-Stage,3827.497963051994
019,RT,1236.6572567328615
019,RF,21042.18211707531
019,XGB,3011.7907612588456
019,Dual-Stage,2744.5402735422194
166,RT,885.0398686072955
166,RF,21352.50213810034
166,XGB,3508.8197482966916
166,Dual-Stage,1573.092852976251
180,RT,619.7477208098743
180,RF,17085.239057857663
180,XGB,2890.0008197844313
180,Dual-Stage,1128.4870935229335
001,RT,892.6793941221649
001,RF,21339.933026042178
001,XGB,4928.479778509096
001,Dual-Stage,3028.787957644792
191,RT,1035.8658042711074
191,RF,25211.209706428082
191,XGB,2507.950999999085
191,Dual-Stage,2216.6430119736224
062,RT,436.88584643795053
062,RF,22499.948807740304
062,XGB,2661.1379020523636
062,Dual-Stage,2002.3675898664142
153,RT,771.2377781449344
153,RF,17766.115495178485
153,XGB,2430.870528947836
153,Dual-Stage,2244.1394638286424
084,RT,780.6822988771144
084,RF,17696.939082701338
084,XGB,2596.2022913453043
084,Dual-Stage,1731.9497236682
124,RT,919.8185714264388
124,RF,21044.534964301773
124,XGB,2522.491924086774
124,Dual-Stage,1754.5475803371703
196,RT,480.12470633734205
196,RF,17701.932579531305
196,XGB,2220.866774199115
196,Dual-Stage,1889.4378398311214
129,RT,1025.6147972893257
129,RF,18427.358468482264
129,XGB,2400.678427916359
129,Dual-Stage,1748.8764214873388
092,RT,424.09957079373225
092,RF,19190.56546040635
092,XGB,2572.77185173207
092,Dual-Stage,1713.1301683274614
221,RT,744.3154878340621
221,RF,18847.02134636716
221,XGB,2453.1618390183894
221,Dual-Stage,1567.0413741069513
225,RT,540.8122074834237
225,RF,30737.65787137851
225,XGB,2366.3024135423307
225,Dual-Stage,1670.5237385960932
002,RT,871.670788267838
002,RF,22611.462361556256
002,XGB,2604.1134332287916
002,Dual-Stage,1757.589729673035
115,RT,1153.9699476247204
115,RF,17753.717773218305
115,XGB,2043.987249984385
115,Dual-Stage,1685.7145852213762
158,RT,1875.1482042345333
158,RF,22095.86659860243
158,XGB,2857.6034366112804
158,Dual-Stage,1673.590077464557
127,RT,1546.0067206772733
127,RF,22507.10664863233
127,XGB,2269.8654144102243
127,Dual-Stage,1367.9799147929987
003,RT,994.9910293261137
003,RF,18284.955169339915
003,XGB,2171.70258308159
003,Dual-Stage,1326.2139869671742
232,RT,755.674176164203
232,RF,20080.9372254086
232,XGB,1966.8789663054022
232,Dual-Stage,1132.2490310934777
011,RT,719.6419655716921
011,RF,20008.606665131312
011,XGB,1776.6177546186682
011,Dual-Stage,1719.481424349537
029,RT,1352.1617199603497
029,RF,19538.402419975682
029,XGB,3249.0323500223894
029,Dual-Stage,1180.3053235406182
173,RT,1731.2355982957358
173,RF,19186.44607379617
173,XGB,2746.9830737811476
173,Dual-Stage,1214.4205815906278
103,RT,1192.239492994163
103,RF,19410.976971857308
103,XGB,2735.239260583115
103,Dual-Stage,1415.6183543441223
078,RT,668.9806135591177
078,RF,18012.4851514138
078,XGB,3121.3183920918204
078,Dual-Stage,1047.4723643539298
112,RT,1426.3781817814993
112,RF,23444.554828281318
112,XGB,4013.228555529415
112,Dual-Stage,2563.6228585066215
224,RT,886.0468847838948
224,RF,23555.356546549938
224,XGB,1800.1820088456911
224,Dual-Stage,1727.4191063552832
163,RT,865.9752271556572
163,RF,20364.10144321462
163,XGB,2414.560999995896
163,Dual-Stage,1976.4248596677958
042,RT,941.6378371506446
042,RF,18323.23243979474
042,XGB,2016.7090227831784
042,Dual-Stage,1251.823915288945
139,RT,1119.4685084774392
139,RF,21244.4501948994
139,XGB,2675.8542457389276
139,Dual-Stage,1343.410330454113
007,RT,1451.86707554468
007,RF,18678.160255831244
007,XGB,3644.608180239144
007,Dual-Stage,1920.4949360723838
061,RT,1146.9354571263898
061,RF,17428.040771426924
061,XGB,2896.841028563185
061,Dual-Stage,1657.4634279349148
091,RT,1488.498823203807
091,RF,18679.91742316878
091,XGB,2030.8475506918394
091,Dual-Stage,1402.5249716098642
110,RT,882.2548892395457
110,RF,19016.541403920022
110,XGB,2265.6397622373293
110,Dual-Stage,1255.1888110625346
059,RT,548.0630279340382
059,RF,16732.09679889653
059,XGB,1952.719469267951
059,Dual-Stage,1115.1336100443564
081,RT,772.532364081622
081,RF,33832.68419230985
081,XGB,2564.412789716023
081,Dual-Stage,2459.8103954892713
131,RT,1759.5329549835328
131,RF,23311.852869376587
131,XGB,2305.1227973393234
131,Dual-Stage,1468.8979955391073
157,RT,1253.2428803188197
157,RF,20658.805999996544
157,XGB,2687.619387358263
157,Dual-Stage,1648.7996831529017
198,RT,926.9425976861218
198,RF,20526.248404616363
198,XGB,1915.502057477433
198,Dual-Stage,1259.9297510921924
104,RT,1064.3417620969192
104,RF,20459.63846092583
104,XGB,2067.5674498012613
104,Dual-Stage,1369.467479544999
055,RT,778.9798240615479
055,RF,19299.452008901615
055,XGB,1908.006118043902
055,Dual-Stage,1255.8319621326061
038,RT,840.5568173594935
038,RF,19943.5758356135
038,XGB,2316.40552507611
038,Dual-Stage,1539.9308018368993
186,RT,562.0274395518064
186,RF,17186.918928815143
186,XGB,2066.198977402148
186,Dual-Stage,1138.260105378402
152,RT,822.0830957161845
152,RF,20461.596226706137
152,XGB,2118.6509722670494
152,Dual-Stage,1538.3473990237105
209,RT,589.9822704815164
209,RF,17407.08792153111
209,XGB,1898.5687014308526
209,Dual-Stage,1308.01752809406
096,RT,1338.6673616285602
096,RF,19199.700665138498
096,XGB,2214.9922946579995
096,Dual-Stage,1309.6080852080331
111,RT,894.522442984524
111,RF,22995.865684055498
111,XGB,2569.249368041335
111,Dual-Stage,1790.3604397515096
169,RT,1194.3469333129456
169,RF,21073.843090484195
169,XGB,2260.7645666712847
169,Dual-Stage,1390.990037247701
213,RT,998.9268825585359
213,RF,22082.289956378827
213,XGB,2063.5957785027936
213,Dual-Stage,1256.6205234893673
012,RT,710.0258577963211
012,RF,17618.817527980118
012,XGB,1758.863653560625
012,Dual-Stage,1550.951411473085
036,RT,1389.5008225508034
036,RF,20654.265838700623
036,XGB,2624.414510782733
036,Dual-Stage,1251.3681069545773
010,RT,1262.29669769579
010,RF,17818.9795756278
010,XGB,3585.6752848927526
010,Dual-Stage,2813.8118352413503
208,RT,1210.8300365046127
208,RF,20762.862630163767
208,XGB,2357.371360668454
208,Dual-Stage,1317.5135778106373
018,RT,838.665704754918
018,RF,18801.787247919932
018,XGB,2629.509501371877
018,Dual-Stage,1273.591941492752
117,RT,1221.36637211825
117,RF,18902.98624419852
117,XGB,2202.10961625991
117,Dual-Stage,1365.0591079526334
137,RT,1450.1082701008272
137,RF,18123.74857007853
137,XGB,4005.228159994658
137,Dual-Stage,2211.281539218237
192,RT,902.1107105503264
192,RF,21042.150362774886
192,XGB,2101.820904138898
192,Dual-Stage,1928.9677312095107
046,RT,650.4716208066097
046,RF,17950.466943812284
046,XGB,2046.432929771248
046,Dual-Stage,1750.1000759271674
136,RT,1156.2841448761426
136,RF,21323.652115864643
136,XGB,3291.002202825874
136,Dual-Stage,1598.62498549046
161,RT,1544.4855523413419
161,RF,27390.459492611386
161,XGB,3636.1283134161267
161,Dual-Stage,1418.6016716658783
175,RT,1254.5611171304158
175,RF,21870.366734244286
175,XGB,2473.2576982207133
175,Dual-Stage,1549.2213070031044
056,RT,1204.9122856905926
056,RF,20038.90151785219
056,XGB,2276.7514821282475
056,Dual-Stage,1475.9294687434833
181,RT,1330.3563352158565
181,RF,17699.547291666673
181,XGB,1761.1230113733345
181,Dual-Stage,1339.0890112362058
079,RT,1002.422835307359
079,RF,22116.9769725177
079,XGB,2820.616223556607
079,Dual-Stage,1461.1089725625718
214,RT,1036.7804658129696
214,RF,18363.46421500361
214,XGB,1904.9084429980942
214,Dual-Stage,1235.1424951057109
249,RT,1016.7888189996653
249,RF,20710.246336224805
249,XGB,2621.5131034279757
249,Dual-Stage,1747.242793028598
031,RT,1718.9356525150133
031,RF,21480.063762660633
031,XGB,4148.601500034247
031,Dual-Stage,2348.431324988572
142,RT,1294.027750034843
142,RF,17180.628750026015
142,XGB,3329.9226406171556
142,Dual-Stage,1329.1463787798862
030,RT,1596.8860681589308
030,RF,22568.27650759962
030,XGB,2779.290598496256
030,Dual-Stage,1775.641541368023
052,RT,1580.4347113246454
052,RF,20742.358281700373
052,XGB,3827.3088239613676
052,Dual-Stage,2552.7226874990965
171,RT,840.2694588491922
171,RF,17952.02998063124
171,XGB,2029.4485254341
171,Dual-Stage,1294.6464933545685
237,RT,553.3234020762904
237,RF,17461.53583868858
237,XGB,2162.6761393996635
237,Dual-Stage,1110.1403778901986
025,RT,401.01022768351135
025,RF,20172.98395935726
025,XGB,3324.4247154182563
025,Dual-Stage,1717.7457119396422
182,RT,2257.629290484121
182,RF,16787.917089372993
182,XGB,2217.535893873012
182,Dual-Stage,1615.8286368596878
250,RT,1515.2853920735652
250,RF,19316.5741279663
250,XGB,2747.822856013954
250,Dual-Stage,1185.853016031615
243,RT,777.3484360356878
243,RF,16939.072492772502
