Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
001,0.0015507896663564092,3.8019799702762755,0.01710209520795781,0.0020143942088633373,7.0881993020124865,0.02091071071423504,False,50,8.473647832870483
002,0.0015824668127866043,3.402915928350963,0.016114113732400286,0.003562872966923656,5.330769123915433,0.024893958854312826,False,50,11.570671081542969
003,0.0018957688509228757,3.9969243289269207,0.017476117017514593,0.003486320696348996,5.907214309968445,0.02611506771725932,False,50,8.307473182678223
004,0.000569055852231363,5.556415129362301,0.015245690478562274,0.0003704198500440024,4.506100839887428,0.013351074874938019,True,87,3.178952693939209
005,0.0012544669055887222,9.613679550659892,0.02492390293042268,0.0013399829044865072,8.646633779687308,0.025531529003663976,True,49,3.6107065677642822
006,0.0013259878187253874,10.133228397481966,0.02580921957899377,0.0013747733326767034,8.733749674831731,0.02602915923370569,True,49,3.473754644393921
007,0.001451747702331966,20.50447755073746,0.02659677548379673,0.0017216971420721352,16.071245342234516,0.02782949247502563,True,49,3.5072696208953857
008,0.0014322796763649591,11.69991240549935,0.026320569502205016,0.0013092777946932927,8.658284020027576,0.024919640707549748,True,49,7.608955383300781
009,0.0013236825737710726,7.7837456388518005,0.024985101057731867,0.0013234158265239104,7.029265608171249,0.025548972174174484,True,72,4.877770900726318
010,0.001449855459989565,9.709260277239865,0.027485131565049652,0.0014826921706621158,8.53215724621552,0.027314443498817315,True,49,3.39996337890625
011,0.000301896819063703,1.9602367097584714,0.008266646565501771,0.00035943630890486195,3.4016771944768345,0.008290867208486652,True,92,24.23317575454712
012,0.0002943333162548174,3.0538178489964345,0.007647685412722346,0.0002721283625851065,3.5663451232864403,0.007581189910779056,True,92,40.820390939712524
