Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win
001,4943.497884507264,1.2565616309907341,34.58043771526186,4952.049339727194,1.257012035176657,34.60475532545888,False,50
002,6079.9971085801135,1.169416183368386,36.84591085718769,6079.9971085801135,1.169416183368386,36.8459108571877,False,50
003,5726.648722559408,10.191016440634105,34.80150672063597,5726.648722559408,10.191016440634105,34.80150672063597,False,50
004,484308.98389014945,0.20002866346749765,493.09917073686404,569931.4974885227,0.2258557106468977,516.2508379712957,True,87
005,1.346739484670605,0.06290131956525984,0.8071429357652828,1.3387348042471912,0.06259604479448846,0.803504133314628,True,49
006,1.3674345019555703,0.06066691681594244,0.8193109137654826,1.3674345019555703,0.06066691681594244,0.8193109137654826,True,49
007,1.4999212763438472,0.06130371058364377,0.8345325589380044,1.4999227142696863,0.06137473630480461,0.835255174814559,True,49
008,1.320315913292083,0.06020853066751776,0.7895641162150092,1.3213034408082456,0.06027499025866882,0.7906383138284272,True,49
009,1.3991427168479,0.0621159166292369,0.8315182714348808,1.3991427168479,0.0621159166292369,0.8315182714348808,True,72
010,1.3529836369447914,0.0627234996449644,0.8160873976933951,1.34627349693596,0.06269264552870013,0.8139245616988875,True,49
011,4.823339609836383,0.919001246042105,1.0106066474018152,5.391640074426633,0.9242371972027732,1.037140104777333,True,92
012,4.074917804406296,1.3832122491043797,0.9563961491254303,4.109196732248299,1.384903158716043,0.9606011762616046,True,92
013,17.86833638823402,1.0674564781054683,2.4144520455959766,17.874539541816073,1.0675029933623512,2.4154660379686446,True,3
014,28.351931403484354,1.7092878146281145,3.4840966553357497,28.42092885689454,1.7147076690955163,3.4895080003428554,True,3
015,1106.9105878549042,0.10419025513085275,26.77521307042582,1108.4021223305735,0.10367398352760626,26.765056997007367,True,57
016,16.012204316582363,1.3131676928621163,2.473656025373823,16.58122496441519,1.313600069552964,2.495310264992584,True,3
017,15.780522470423287,0.6438769246564889,2.4600012652118033,15.142220090226937,0.6420246223156475,2.4372672395540262,True,3
018,25.97130835310109,1.0354043643978534,3.4004342438140585,26.066009782187354,1.0383234901445069,3.4083750440979896,True,3
019,1.303601062906706e-06,0.01713478306434913,0.0008967173858397898,1.3113635408253599e-06,0.017136797916793307,0.0008975071303181797,True,15
020,1.4489374125346e-06,0.017547783688559967,0.0009120298050375718,1.5310569292753587e-06,0.01768700378421157,0.0009258237702421315,True,15
021,1.286510776188789e-06,0.01682810566402858,0.0008904240631797289,1.2885781770418605e-06,0.016820776899818472,0.0008901554133256727,True,15
022,1.348402484210155e-06,0.017468199031858367,0.0009106046355123852,1.3776563376552014e-06,0.017542697784560902,0.0009161034860599646,True,15
023,1.3377907581873123e-06,0.017174378670735638,0.0008930321045981521,1.3377907581873123e-06,0.017174378670735638,0.0008930321045981521,True,15
024,0.35771120509819543,0.005314980987555782,0.44955255196356625,0.35771120509819543,0.005314980987555782,0.44955255196356625,True,16
025,0.44116412561891793,0.005701713870564963,0.48588675171812445,0.44116412561891793,0.005701713870564963,0.48588675171812445,True,15
026,0.30854288438478933,0.007952766772365904,0.42824181793119986,0.31824502709200425,0.008061343594746535,0.43450875290554425,True,16
027,0.6482210865745941,0.008352138972757375,0.5953475428230244,0.6482210865745941,0.008352138972757375,0.5953475428230244,True,20
028,0.42129619577036304,0.007109815055718982,0.5013759000289524,0.4443696117645146,0.007303340994782968,0.5146858704517892,True,20
029,0.343956551652312,0.0065246653936000525,0.45869617573091326,0.35173829546866536,0.006575738164143861,0.46273126554350785,True,21
030,0.3306038840897847,0.0063466789071209995,0.4502460671993922,0.336427076505792,0.0063895614605166155,0.452955861923196,True,20
