Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
001,0.0010759061284429433,2.921771774348843,0.013294473014058672,0.0016346812635072785,6.232359838551362,0.018295903098316912,False,50,248.76616501808167
002,0.0011717689469663089,2.867507520251721,0.013137171885021498,0.0018558178360135193,4.331267159247628,0.018782966713831117,False,50,246.77585864067078
003,0.0011891154423015772,2.9665877860478167,0.013222080992464339,0.0019214694371069338,4.719140908287095,0.01950579346487628,False,50,245.51002168655396
004,0.0003865963823704773,4.592167569673128,0.012781833118132177,0.00022917401445005483,3.5460664560404758,0.010884263069343836,True,87,160.69433546066284
005,0.0007946185061982278,7.894067862386561,0.019573657103741073,0.0007803296236232645,6.409394200915654,0.018998992458670476,True,49,165.8379352092743
006,0.0008261228040258733,7.857269838271357,0.01988000008447422,0.0008033478431402575,6.872598288491671,0.019256075289648844,True,49,165.50061011314392
