Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
001,2672.404865507881,0.7951050079304492,20.7921989039233,4419.11262798377,0.980401629028198,30.28150536013947,False,50,277.59155654907227
002,3074.1261061319265,0.9117396331241515,21.198083775523067,4622.233209741946,0.8281171322331898,29.93012038723976,False,50,279.5809414386749
003,2968.661976987668,2.0167576923455686,21.419599009459155,4475.327650964292,6.580780638150827,30.453285382284257,False,50,277.0794024467468
004,296964.043483248,0.22440678317097335,408.0006255538166,314247.65297844785,0.1854396955445623,405.85611022979793,True,87,368.39797043800354
005,0.7823874376462039,0.055514227186123664,0.627942282398504,0.8487501816887301,0.04870190691878518,0.6333929297528431,True,49,222.76082730293274
006,0.8064502355762622,0.04991850009855502,0.6211411286805,0.8395714248135819,0.04678045751984248,0.6298254691157135,True,49,222.36978816986084
007,0.9975396075276579,0.05507496038491124,0.6686723329943892,0.9828926099756152,0.04939697938062978,0.6554117988866137,True,49,218.77866578102112
008,0.9252097996747601,0.05605537399137235,0.6612780403899547,0.8962154192376465,0.05008824732392272,0.6532325231783493,True,49,223.46387553215027
009,0.8214849033979611,0.05077872933946705,0.6256834044363403,0.8903786287326797,0.047411303395133844,0.6470634077909725,True,72,327.55392479896545
010,0.7551722630905415,0.0519200403095858,0.627130335877699,0.7801392128783248,0.047717317064103336,0.6275412927656714,True,49,219.69207334518433
011,3.5052834839942384,0.8141638441367137,0.8993756024228376,3.4743549987973656,0.8463786246603165,0.8975746117918998,True,92,500.3062891960144
012,3.608223055996985,1.6551186225742722,0.8842480496842443,4.0699285143057295,1.3148775388103822,0.8688785286107512,True,92,579.5002031326294
013,19.28073339640699,1.4681964528266922,2.872415024156479,13.351907955803728,1.013508990730768,2.219757489689699,True,3,47.3061420917511
