Series,Hyp MSE,Hyp MAPE,Hyp MAE,Final MSE,Final MAPE,Final MAE,Seasonal,Win,TimeHyp
001,2672.404865507881,0.7951050079304492,20.7921989039233,4419.11262798377,0.980401629028198,30.28150536013947,False,50,277.59155654907227
002,3074.1261061319265,0.9117396331241515,21.198083775523067,4622.233209741946,0.8281171322331898,29.93012038723976,False,50,279.5809414386749
003,2968.661976987668,2.0167576923455686,21.419599009459155,4475.327650964292,6.580780638150827,30.453285382284257,False,50,277.0794024467468
004,296964.043483248,0.22440678317097335,408.0006255538166,314247.65297844785,0.1854396955445623,405.85611022979793,True,87,368.39797043800354
005,0.7823874376462039,0.055514227186123664,0.627942282398504,0.8487501816887301,0.04870190691878518,0.6333929297528431,True,49,222.76082730293274
006,0.8064502355762622,0.04991850009855502,0.6211411286805,0.8395714248135819,0.04678045751984248,0.6298254691157135,True,49,222.36978816986084
007,0.9975396075276579,0.05507496038491124,0.6686723329943892,0.9828926099756152,0.04939697938062978,0.6554117988866137,True,49,218.77866578102112
008,0.9252097996747601,0.05605537399137235,0.6612780403899547,0.8962154192376465,0.05008824732392272,0.6532325231783493,True,49,223.46387553215027
009,0.8214849033979611,0.05077872933946705,0.6256834044363403,0.8903786287326797,0.047411303395133844,0.6470634077909725,True,72,327.55392479896545
010,0.7551722630905415,0.0519200403095858,0.627130335877699,0.7801392128783248,0.047717317064103336,0.6275412927656714,True,49,219.69207334518433
011,3.5052834839942384,0.8141638441367137,0.8993756024228376,3.4743549987973656,0.8463786246603165,0.8975746117918998,True,92,500.3062891960144
012,3.608223055996985,1.6551186225742722,0.8842480496842443,4.0699285143057295,1.3148775388103822,0.8688785286107512,True,92,579.5002031326294
013,19.28073339640699,1.4681964528266922,2.872415024156479,13.351907955803728,1.013508990730768,2.219757489689699,True,3,47.3061420917511
014,15.293141098393642,0.9886171027957384,2.431853090006283,23.45458393663206,1.6113948690490596,3.2132574692525253,True,3,40.015828132629395
015,842.2204011411513,0.09104926000856965,22.974743669424225,819.501438625309,0.09877477316864934,22.88153306399056,True,57,270.07528924942017
016,12.95486607051684,0.9670496191803226,2.3056642292712413,13.988767971662373,1.322509170605446,2.2782686365770526,True,3,36.19304585456848
017,12.047982765571819,0.8259500906924121,2.273101053702262,12.04647692383222,0.6106910650113143,2.224339702529985,True,3,36.38310647010803
018,13.776161715223628,0.8105694893496139,2.4197474951317113,23.186078452756117,1.1702582304503342,3.186811252509523,True,3,39.481226205825806
019,1.3267077482241805e-06,0.016981698419538692,0.0008636267837550734,1.0358344441238467e-06,0.015534488215975611,0.0007995242200537582,True,15,23.604706048965454
020,1.0726915514299758e-06,0.01502516173939641,0.0007952999056061765,1.0266823939846267e-06,0.01495494434719313,0.0007733200483763063,True,15,23.671317100524902
021,1.0744566596618583e-06,0.014805414423009783,0.0007867842149754956,8.566206420115668e-07,0.01412354604139363,0.0007324934261295961,True,15,23.824408769607544
022,1.4296014094993274e-06,0.01622899354250287,0.000851734524373394,9.11531428916665e-07,0.014807435850857403,0.0007611995622186359,True,15,22.321277856826782
023,1.424529716299887e-06,0.014645340017581462,0.0008288924675732272,9.159544077851219e-07,0.014533267217331006,0.0007556852889622435,True,15,23.866684436798096
024,0.23009561500230094,0.004382305201155479,0.3665357594906916,0.19652528198144284,0.004087178446750833,0.34465350775630155,True,16,50.78483843803406
025,0.2623414585741094,0.00464030137057306,0.38549894174553,0.2497689960368275,0.004221937986496569,0.3588889527470215,True,15,47.42926836013794
026,0.24065457827717798,0.00744841337364501,0.36598767598574394,0.21630790302945088,0.006728356988111456,0.35464142701416035,True,16,38.81197261810303
027,0.6835735848033336,0.007433163728478171,0.5599729157369474,0.5125037109393443,0.006923919170011658,0.49045839371027566,True,20,40.26331853866577
028,0.4465843466712244,0.006485145895144281,0.4734166602414772,0.2820073751367372,0.006037257836543249,0.4206259561035156,True,20,44.024248361587524
029,0.6137436353253406,0.007552123882236826,0.5010958430052943,0.24289779309460516,0.005594864713240801,0.39178208263432024,True,21,50.97281098365784
030,0.28243072816020176,0.005813248608691279,0.3976048664010855,0.20660662079973138,0.0050888425319423345,0.3595005618619571,True,20,54.06719207763672
031,0.22400757177568303,0.005345237047744274,0.3720326957835479,0.22039590934040257,0.005320639581372458,0.3746406174281791,True,20,52.09759449958801
032,1.260374235009992,0.00973308655089638,0.698449887629969,0.42173636839549733,0.006813290184502821,0.4404735715655891,True,20,38.6393768787384
033,0.1564656332190031,0.005991071180419512,0.3132051160217725,0.14106251469819284,0.0056384619745837705,0.2944360174279601,True,17,53.35487127304077
034,0.3498923498612532,0.007955917670888633,0.46173111037621356,0.5073962196720686,0.007942661739129912,0.506328958650826,True,18,43.18974018096924
035,0.5824483976148237,0.007766569960834582,0.5418989251512825,0.5002067684416802,0.007212518205269367,0.4928119878971223,True,14,45.030884981155396
036,0.19609286771690038,0.004559760465599716,0.33756277609428526,0.1695883870894727,0.004278536641860677,0.31557667921989485,True,20,63.03528952598572
037,5.7574934333437924e-05,0.026341226866163008,0.00579448049554106,5.6169152703815166e-05,0.026254410921495108,0.005761081862543059,True,34,66.70500779151917
038,5.717126791447245e-05,0.02654149462631359,0.005821507157452115,5.378961627385845e-05,0.025811411655049677,0.005634233720587746,True,34,66.72578239440918
039,6.347134768600298e-05,0.027310956009426113,0.005995090031595131,5.7346271184830474e-05,0.02624617362231449,0.005754140391747398,True,34,66.56491184234619
040,5.2906915128666e-05,0.025563852462557445,0.005612005757521903,5.400640947130931e-05,0.02541330054385208,0.005621959104305184,False,50,104.75157809257507
041,5.5777635940413066e-05,0.026333079984400792,0.005774279932649593,5.383841745004584e-05,0.02506828172470098,0.00558310815501642,False,50,110.66382479667664
042,6.121380277290819e-05,0.02766259456740593,0.00601411092593527,5.433663640502667e-05,0.025224656807441292,0.005635044042458667,False,50,110.92894005775452
043,0.006882010954922619,0.005364884693671352,0.05147972702520488,0.03228083860373293,0.011284427368937993,0.08745630982546537,True,100,304.4577670097351
044,83.09662239139007,0.046650774932444634,6.838676803083127,84.31768915090797,0.039354305325813396,6.477035822948127,True,48,427.58987069129944
045,91.8128348159505,0.04245294006979264,6.870593190860477,69.87843929589125,0.03419316776406387,5.980291445461609,True,48,493.8740265369415
046,62.112604258191276,0.03070551683155819,5.565522423648665,51.33550913598599,0.029930590891856717,5.017315660225619,True,48,518.2625823020935
047,59.162847138724416,0.029509213606242098,5.323709446654243,43.964566380582816,0.02790426428987274,4.7333304860502805,True,48,535.0550663471222
048,0.001508363949297977,0.13320028779717777,0.026496513729577464,0.0016468239006520915,0.13441319085092865,0.028374212495800723,True,100,164.6083812713623
049,0.001203125785165272,0.08026281428226131,0.024909363738000154,0.0014153364539492832,0.11146958014838033,0.026736670364602845,True,100,168.86577463150024
050,0.0011543609713586694,0.1131190584654038,0.023818686601953805,0.0013071181552934275,0.09782559700951635,0.025824727347575526,True,100,165.68790698051453
051,0.0014483673736270263,0.10553647677334284,0.026268455147530685,0.0013208850163974654,0.10125800251783985,0.025284649838478047,True,100,166.29971718788147
052,0.0008919876333112565,0.05394865433209093,0.022003956179962054,0.0013774657175024843,0.08392604722143027,0.02599048414063292,True,100,166.5715250968933
053,0.05866326615395916,0.12334005380339663,0.16625997896725964,0.0706600347236932,0.13090877953627963,0.18033809294711461,True,2,21.028485774993896
054,0.07654221464239847,0.179050472099985,0.17878643873382688,0.058590081389625404,0.06622796222338735,0.16078923726848862,True,3,25.35232162475586
055,311.80862855697075,0.6875950498583605,7.083200320345092,269.2615374638641,0.6666516335264107,6.862014808814261,True,2,34.26599097251892
056,335.8994441166018,5.31446221020612,7.063014754359263,256.6571848254532,0.8260253849824479,6.383237506749275,True,2,30.688534021377563
057,308.95977704052547,0.8383332224964114,6.861676024564929,244.93090453476754,0.7963088699141412,6.341040115457837,True,2,31.476978302001953
058,297.4008059257725,1.7426117134738912,6.266875282873497,245.57033600218148,0.7836560176316286,5.891369518854509,True,2,33.825374364852905
059,1464.243177658688,0.19919332485578517,27.287762925133052,1412.489201243878,0.16605075777564893,27.177863721348604,True,30,231.2570517063141
060,12007.520626347055,0.5617891073273381,66.50267449272023,15016.739379022718,0.43318696989356037,70.93994289535291,True,68,390.4522154331207
061,13972.048369690747,0.9359013123662059,71.11604462969197,13890.605950060393,0.3414164436678753,69.99933890741832,True,68,411.4545817375183
062,936.4644093038644,0.29859111625614965,23.345450447824312,867.327893162088,0.3220597058685297,22.40732061005916,True,36,263.12027192115784
063,952.9544561624183,0.36104551574815597,23.180591319680545,864.8342139532933,0.35682492417347567,22.6609539244863,True,36,264.5667679309845
064,6547.398174014389,0.5236691842026945,56.011783124032036,6933.832091056541,0.5796809591431316,56.08434508639825,True,72,427.72853899002075
065,0.0007564699056911969,0.19717370748539656,0.015579738252370773,0.0007682752200480354,0.2481345092826363,0.015525319475072427,True,81,116.29627704620361
066,0.000733695252691113,0.19610519001862037,0.01563232596548934,0.0005781804249067623,0.22388577981788,0.014379185395088631,True,81,130.6666111946106
067,0.0005647934889056146,0.18158025155993282,0.013373571479028604,0.0006225741677109553,0.3127292220520276,0.013690293978177618,True,81,151.6092791557312
068,0.0016955981019157276,0.1822822246991585,0.02386786422318917,0.0009007551769106493,0.15855125165048972,0.01809268046133337,True,81,74.19729208946228
069,0.0008868847886644927,0.20071747271926058,0.016201474935024707,0.0008632629299368952,0.355538562948771,0.016126562825729517,True,81,117.97426772117615
070,14.127512372414952,1.924444589484232,2.0220344693731693,13.00968282716733,1.496247304073638,1.9565224851711953,True,4,48.213639974594116
071,166.54917216975542,1.199451999633684,5.424340645302508,182.42542370387437,3.345471074541879,5.2466763349751275,True,47,224.6401560306549
072,23.997768252749882,1.3360269009951398,2.7055772516271035,19.48435503689948,1.3078641785350662,2.6085746455326757,True,3,45.84524464607239
073,5607.567978357591,0.31530405939752265,53.5434537943368,4468.502001399375,0.3310427243018304,48.64269156238087,True,78,672.1648654937744
074,26.48896497524434,0.10625808867823187,2.9021428234291617,22.98685550358187,0.08230587824343799,2.8452351323616414,True,2,30.85974097251892
075,37.52198055405662,0.10891139255612929,3.2911330128133782,55.161274652488395,0.11319989473711398,3.598303451296208,True,2,30.49068832397461
076,3716.229002434769,0.12687838099260343,47.6080069260946,3386.6172869090115,0.1311748805530065,45.831121982568106,True,100,826.8897626399994
077,3454.0818690835704,0.1413304011382152,46.57387804249313,3439.351807953346,0.252334681963686,45.99646482977043,True,100,874.1914439201355
078,3330.243492557632,0.19210938415755907,45.13404102939422,2931.9518044459137,0.2609676625105984,42.66054911980031,True,100,1034.227194070816
